  Line Name, transition,    Rest Value,   error,   ep,  ip,  reference,  notes
  [FeII],   a6D7/2-a6D9/2, 25.988200, .000500,    7.90,  16.19,,
  [FII],    3P1-3P2,       29.330000, .040000,   17.42,  34.97,,
  [PII],    3P2-3P1,       32.870000, .030000,   10.48,  19.77,,
  [FeIII],  5D2-5D3,       33.040000, .070000,   16.19,  30.65,,
  [ClII],   3P0-3P1,       33.281000, .008000,   12.97,  23.81,,
  [SIII],   3P1-3P0,       33.480000, .002000,   23.34,  34.79,     5,
  [FeI],    a5D2-a5D3,     34.713300, .000200,    0.00,   7.90,,
  [SiII],   2P3/2-2P1/2,   34.814000, .002000,    8.15,  16.35,,
  [FeII],   a6D5/2-a6D7/2, 35.349100, .001000,    7.90,  16.19,,
  [FeII],   a4F3/2-a4F5/2, 35.776800, .004000,    7.90,  16.19,,
  [NeIII],  3P0-3P1,       36.009000, .004000,   40.96,  63.45,,
  [CoII],   a5F1-a5F2,     39.274000, .015000,    7.86,  17.08,,
  [FIV],    3P1-3P0,       44.070000, .210000,   62.71,  87.14,,
  [FeII],   a6D3/2-a6D5/2, 51.300500, .002000,    7.90,  16.19,,
  [FeIII],  5D1-5D2,       51.680000, .200000,   16.19,  30.65,,
  [OIII],   3P2-3P1,       51.814500, .000500,   35.12,  54.93,     5,        3
  [FeI],    a5D1-a5D2,     54.310900, .000400,    0.00,   7.90,,
  [SI],     3P0-3P1,       56.311000, .010000,    0.00,  10.36,,
  [NIII],   2P3/2-2P1/2,   57.317000, .002000,   29.60,  47.45,     5,        3
  [PII],    3P1-3P0,       60.640000, .070000,   10.48,  19.77,,
  [OI],     3P1-3P2,       63.183705, .000002,    0.00,  13.62,     2,        2
  [FII],    3P0-3P1,       67.200000, .300000,   17.42,  34.97,,
  [SiI],    3P2-3P1,       68.474000, .005000,    0.00,   8.15,     4,
  [FeII],   a6D1/2-a6D3/2, 87.382000, .006000,    7.90,  16.19,,
  [OIII],   3P1-3P0,       88.356000, .002300,   35.12,  54.93,     5,        3
  [AlI],    2P3/2-2P1/2,   89.237000, .008000,    0.00,   5.99,,
  [FeIII],  5D0-5D1,      105.370000, .600000,   16.19,  30.65,,
  [FeI],    a5D0-a5D1,    111.183000, .002000,    0.00,   7.90,,
  [NII],    3P2-3P1,      121.898060, .000070,   14.53,  29.60,     1,        1
  [SiI],    3P1-3P0,      129.681730, .000030,    0.00,   8.15,     4,
  [OI],     3P0-3P1,      145.525439, .000007,    0.00,  13.62,     2,
  [CII],    2P3/2-2P1/2,  157.740900, .000100,   11.26,  24.38,     3,
  [NII],    3P1-3P0,      205.178200, .000100,   14.53,  29.60,     1,        1
